code,name,product_type,effective_from,effective_to,source,quality
159836,创业板300ETF天弘,ETF,2021-05-25,,initial_current_pool_backfill,partial_survivorship_bias
516310,银行ETF易方达,ETF,2021-05-28,,initial_current_pool_backfill,partial_survivorship_bias
516910,物流ETF富国,ETF,2021-06-11,,initial_current_pool_backfill,partial_survivorship_bias
513360,教育ETF博时,ETF,2021-06-17,,initial_current_pool_backfill,partial_survivorship_bias
516570,化工行业ETF,ETF,2021-06-18,,initial_current_pool_backfill,partial_survivorship_bias
159755,电池ETF广发,ETF,2021-06-24,,initial_current_pool_backfill,partial_survivorship_bias
516980,证券先锋ETF华富,ETF,2021-06-24,,initial_current_pool_backfill,partial_survivorship_bias
561500,漂亮50ETF华泰柏瑞,ETF,2021-06-28,,initial_current_pool_backfill,partial_survivorship_bias
159872,智能网联汽车ETF鹏华,ETF,2021-07-01,,initial_current_pool_backfill,partial_survivorship_bias
510990,180ESGETF工银,ETF,2021-07-01,,initial_current_pool_backfill,partial_survivorship_bias
159725,线上消费ETF工银,ETF,2021-07-02,,initial_current_pool_backfill,partial_survivorship_bias
159781,科创创业ETF易方达,ETF,2021-07-05,,initial_current_pool_backfill,partial_survivorship_bias
159859,生物医药ETF天弘,ETF,2021-07-07,,initial_current_pool_backfill,partial_survivorship_bias
159766,旅游ETF富国,ETF,2021-07-23,,initial_current_pool_backfill,partial_survivorship_bias
516100,金融科技ETF华夏,ETF,2021-07-23,,initial_current_pool_backfill,partial_survivorship_bias
516260,物联网ETF华夏,ETF,2021-08-02,,initial_current_pool_backfill,partial_survivorship_bias
159790,碳中和ETF华夏,ETF,2021-08-06,,initial_current_pool_backfill,partial_survivorship_bias
517010,沪港深500ETF易方达,ETF,2021-08-12,,initial_current_pool_backfill,partial_survivorship_bias
516720,ESGETF浦银,ETF,2021-08-13,,initial_current_pool_backfill,partial_survivorship_bias
159732,消费电子ETF华夏,ETF,2021-08-23,,initial_current_pool_backfill,partial_survivorship_bias
516560,养老ETF华宝,ETF,2021-09-16,,initial_current_pool_backfill,partial_survivorship_bias
159792,港股通互联网ETF富国,ETF,2021-09-28,,initial_current_pool_backfill,partial_survivorship_bias
561130,国货ETF富国,ETF,2021-10-18,,initial_current_pool_backfill,partial_survivorship_bias
516750,建材ETF富国,ETF,2021-11-05,,initial_current_pool_backfill,partial_survivorship_bias
563000,中国A50ETF易方达,ETF,2021-11-08,,initial_current_pool_backfill,partial_survivorship_bias
159607,中概互联网ETF嘉实,ETF,2021-12-02,,initial_current_pool_backfill,partial_survivorship_bias
159611,电力ETF广发,ETF,2022-01-07,,initial_current_pool_backfill,partial_survivorship_bias
560800,数字经济ETF鹏华,ETF,2022-01-07,,initial_current_pool_backfill,partial_survivorship_bias
562910,高端制造ETF易方达,ETF,2022-01-10,,initial_current_pool_backfill,partial_survivorship_bias
159743,湖北ETF博时,ETF,2022-01-11,,initial_current_pool_backfill,partial_survivorship_bias
159778,工业互联网ETF鹏华,ETF,2022-02-17,,initial_current_pool_backfill,partial_survivorship_bias
513070,港股通消费ETF易方达,ETF,2022-03-24,,initial_current_pool_backfill,partial_survivorship_bias
159635,基建ETF华夏,ETF,2022-07-12,,initial_current_pool_backfill,partial_survivorship_bias
513120,港股创新药ETF广发,ETF,2022-07-12,,initial_current_pool_backfill,partial_survivorship_bias
513290,纳指生物科技ETF汇添富,ETF,2022-08-29,,initial_current_pool_backfill,partial_survivorship_bias
159623,成渝经济圈ETF博时,ETF,2022-09-09,,initial_current_pool_backfill,partial_survivorship_bias
560080,中药ETF汇添富,ETF,2022-10-17,,initial_current_pool_backfill,partial_survivorship_bias
511520,政金债ETF富国,ETF,2022-10-25,,initial_current_pool_backfill,partial_survivorship_bias
159667,工业母机ETF国泰,ETF,2022-10-26,,initial_current_pool_backfill,partial_survivorship_bias
